paper_id,title,journal,year,doi,catalyst_type,catalyst_name,pollutant_category,pollutant_name,oxidant,mechanism_category,identified_species,dominant_species,removal_efficiency_pct,reaction_time_min,rate_constant,rate_constant_unit,reusability_cycles,key_active_sites,is_photo_assisted,is_electrochemical
Spinel-based-zinc-doped-Co3O4--ZCO--catalytic-membrane-for-eff_2025_Environm,Spinel-based zinc-doped Co3O4 (ZCO) catalytic membrane for efficient peroxymonosulfate activation and chloroquine phosphate degradation: An atom doping strategy,,2025,10.1016/j.envres.2025.121408,Metal oxide,Zn-doped Co3O4 spinel (ZCO) immobilized on PVDF membrane,Pharmaceutical,Chloroquine phosphate,PMS,Both,SO4•−; •OH; 1O2,,99.9,30,2100,min-1,5,electron-rich Co(II) centers; oxygen vacancies (OV),False,False
Stable-two-dimensional-copper-II--based-metal-organic_2025_Journal-of-Enviro,Stable two dimensional copper(II) based metal-organic framework as an efficient peroxymonosulfate activator for tetracycline degradation,,2025,10.1016/j.jece.2025.118375,MOF-derived,[Cu3(AD)2(NDA)2(H2O)2](DMA)(H2O)2,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,1O2; O2•−,1O2,73,60,0.02,min-1,3,Cu(II)/Cu(I); oxygen vacancies; nitrogen-rich adenine ligands,False,False
Strongly-coupled-Bi2S3-CoTiO3-heterostructure-with-algina_2025_Separation-an,Strongly coupled Bi2S3/CoTiO3 heterostructure with alginate encapsulated hydrogel for boosting peroxymonosulfate activation: Reaction sites and activation mechanism,,2025,10.1016/j.seppur.2025.134360,MOF-derived,alginate/Bi2S3/CoTiO3,Antibiotic,sulfamethoxazole,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,97.2,60,0.0552,min-1,6,Co2+/Co3+ redox cycle; Bi–O bond; oxygen functional groups in alginate,False,False
Strongly-coupled-bentonite-based-Co3O4-quantum-dot-composi_2025_Separation-a,"Strongly coupled bentonite-based Co3O4 quantum dot composites as efficient peroxymonosulfate activator for ciprofloxacin degradation: Fabrication, application and catalytic mechanism",,2025,10.1016/j.seppur.2025.131869,MOF-derived,Co3O4QDs/Bent,Antibiotic,ciprofloxacin,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,Co(IV),89.8,40,0.0597,min-1,5,Co(II)/Co(III)/Co(IV) redox cycle; oxygen vacancies (OVs); Co-O-Si interface,False,False
Support-modulated-coordination-environments-direct-_2026_Applied-Catalysis-B,Support-modulated coordination environments direct divergent PMS activation pathways in Co single-atom catalysts,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125898,SAC,Co/GO and Co/SiO2,Antibiotic,sulfamethoxazole,PMS,Non-radical,Co(IV)=O; surface-bound radicals,Co(IV)=O in Co/GO; surface-bound radicals in Co/SiO2,100,30,0.17,min-1,,Co-N4 in Co/GO; Co-N with Co-Si interaction in Co/SiO2,False,False
Suppression-of-antibiotic-resistance-genes-dissemination-by_2025_Chemical-En,Suppression of antibiotic resistance genes dissemination by bimetallic-doped biochar activating peroxymonosulfate: Efficiency and mechanistic insights,Chemical Engineering Journal,2025,10.1016/j.cej.2025.167386,Biochar,Fe-Co@BC,Other,antibiotic resistance genes,PMS,Radical,SO4•−; •OH; O2•−; 1O2,SO4•−,,,,min-1,,,False,False
Surface-adsorbed-atom-oxygen-triggers-nonradical-formati_2025_Applied-Cataly,Surface-adsorbed atom oxygen triggers nonradical formation via selective peroxymonosulfate decomposition by monolithic high-spin Co single-atom sites catalysts,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125207,SAC,polydopamine-Co@Al2O3,Phenolic compound,phenol,PMS,Non-radical,1O2; Co(IV)-oxo; SO4•−; •OH; O2•−,1O2,86,60,0.036,min-1,5,Co-O5; Co-Co coordination,False,False
Sustainable-Fe-II--oxidation-reduction-and-release-recovery-d_2025_Chemical-,"Sustainable Fe(II) oxidation/reduction and release/recovery dual cycle in a multi-chamber Fe(III)/Peroxymonosulfate electrochemical system: Application, mechanism, and optimization",,2025,10.1016/j.cej.2025.162601,Other,Fe(III),Antibiotic,metronidazole,PMS,Radical,SO4•−; •OH; 1O2,,35.5,45,0.0124,min-1,10,,False,True
Symmetric-dual-cathode-sandwich-system-for-enhanced-perox_2025_Separation-an,Symmetric dual-cathode sandwich system for enhanced peroxymonosulfate electrochemical activation and stable water decontamination: performance and mechanism,,2025,10.1016/j.seppur.2025.134302,Metal oxide,Ti/AITO,Pharmaceutical,ranitidine,PMS,Both,SO4•−; •OH; 1O2,•OH,99.6,60,0.198,min-1,60,,False,True
Synergistic-activation-of-peroxymonosulfate-by-CuO-Fe2O3-fo_2025_Journal-of-,Synergistic activation of peroxymonosulfate by CuO@Fe2O3 for enhanced degradation of ofloxacin: Role of surface hydroxyl groups and environmental applicability,,2025,10.1016/j.jhazmat.2025.140037,Metal oxide,CuO@Fe2O3,Antibiotic,ofloxacin,PMS,Both,SO4•−; •OH; O2•−,SO4•−,100,5,0.1776,min-1,4,Cu(II)/Cu(I); Fe(III)/Fe(II); surface hydroxyl groups,False,False
Synergistic-and-continuous-driving-of-Fe-III--Fe-II--cycle-by_2025_Chemical-,Synergistic and continuous driving of Fe(III)/Fe(II) cycle by electron-rich organic contaminants and peroxymonosulfate: Homogeneous feasibility and heterogeneous application,Chemical Engineering Journal,2025,10.1016/j.cej.2025.170736,Metal oxide,Fe3O4/graphite felt,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; 1O2,SO4•−,99.7,,,min-1,,Fe(III)/Fe(II) redox couple; TC-Fe(III) complex,False,False
Synergistic-cobalt-nitrogen-sites-and-cobalt-nanoparticles-_2025_Journal-of-,Synergistic cobalt-nitrogen sites and cobalt nanoparticles in polyethylene terephthalate-derived catalysts for selective singlet oxygen generation: Bridging plastic upcycling and antibiotic mineralization,,2025,10.1016/j.jcis.2025.138027,MOF-derived,Co@N/PC-800,Antibiotic,tetracycline,PMS,Non-radical,1O2; SO4•−; •OH; O2•−,1O2,88.16,30,0.085,min-1,7,Co-N coordination sites; metallic Co nanoparticles; graphitic N; ketonic groups,False,False
Synergistic-control-of-antibiotic-resistance-via-natural_2025_Journal-of-Haz,Synergistic control of antibiotic resistance via natural illite-activated peroxymonosulfate: Efficiency and mechanism,Journal of Hazardous Materials,2025,10.1016/j.jhazmat.2025.140447,Other,illite,Antibiotic,antibiotic-resistant bacteria and antibiotic resistance genes,PMS,Both,SO4•−; •OH; 1O2,,,30,,min-1,,,False,False
Synergistic-effect-of-photothermal-and-heterojunction-of_2025_Journal-of-All,Synergistic effect of photothermal and heterojunction of MOF-derived ZnO/ ZnFe2O4 for enhanced photocatalytic PMS activation,,2025,10.1016/j.jallcom.2025.183416,MOF-derived,ZnO/ZnFe2O4,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; 1O2; O2•−; h+,O2•−,95,30,0.079,min-1,3,,True,False
Synergistic-oxidation-and-coagulation-of-raw-water-by-novel_2025_Journal-of-,Synergistic oxidation and coagulation of raw water by novel Fe(II)/sulfite process: A comparative study with peroxydisulfate and peroxymonosulfate,,2025,10.1016/j.jhazmat.2025.138418,Other,Fe(II),Other,"Bisphenol A, 2,4-Dichlorophenol, Sulfadiazine, Carbamazepine",PMS,,SO4•−; •OH,,,,,min-1,,,False,False
Tailoring-FeIII-spin-states-with-N2-O2-Cl-coordinati_2025_Applied-Catalysis-,"Tailoring FeIII spin states with N2,O2,Cl-coordination for highly selective peroxymonosulfate conversion to singlet oxygen",Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125573,Other,Fe-N2O2-Cl,Phenolic compound,biphenol A,PMS,Non-radical,1O2; O2•−,1O2,96.3,25,0.1216,min-1,5,low-spin FeIII-N2O2-Cl,False,False
Tannic-acid-mediated-oxygen-vacancies-in-broccoli-like-CeO2-Ca_2026_Environm,Tannic acid-mediated oxygen vacancies in broccoli-like CeO2@Carbon for enhanced photocatalytic peroxymonosulfate activation toward tetracycline degradation,Environmental Research,2025,10.1016/j.envres.2025.123268,MOF-derived,OVs-CeO2@C2,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; 1O2; O2•−; h+,h+,85.3,,0.0298,min-1,4,oxygen vacancies; Ce3+/Ce4+ redox pairs,True,False
Three-dimensional-interface-engineering-via-CoMoO4-Co3O4-i_2025_Applied-Cata,Three-dimensional interface engineering via CoMoO4@Co3O4 immobilized on nickel foam for sulfamethoxazole degradation with enhanced electron transfer and high-efficiency peroxymonosulfate activation,,2025,10.1016/j.apcatb.2025.125453,Metal oxide,CoMoO4@Co3O4/NF,Antibiotic,sulfamethoxazole,PMS,Both,SO4•−; •OH; O2•−; 1O2,SO4•− and 1O2,100,10,0.578,min-1,6,Co2+/Co3+ redox couple; Mo6+/Mo5+ redox couple; Co-O-Mo interfacial bond,False,False
Three-dimensional-polymetallic-phosphides-nano-array-on-ni_2025_Separation-a,Three-dimensional polymetallic phosphides nano-array on nickel foam as peroxymonosulfate activator for efficient degradation of tetracycline hydrochloride: Performance and mechanisms,,2025,10.1016/j.seppur.2025.134685,MOF-derived,FeCoNiP@NF,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,SO4•−; high-valent metal-oxo species,high-valent metal-oxo species,95.28,30,0.179,min-1,5,Coα+; Niβ+; Pn−; high-valent Co(IV)=O; high-valent Fe-oxo species,False,False
Ultrafast-degradation-of-tetracycline-via-peroxymon_2025_Journal-of-Environm,Ultrafast degradation of tetracycline via peroxymonosulfate activation using ZIF-8 modified biochar-supported MgAl/LDH,,2025,10.1016/j.jece.2025.116860,Biochar,CoZn@LDO-BC2,Antibiotic,tetracycline,PMS,Both,SO4•−; 1O2; •OH; O2•−,SO4•− and 1O2,95.68,7,0.54,min-1,,Co2+/Co3+ redox couple; ZnO Lewis acid sites; oxygen-containing functional groups on biochar,False,False
Ultralow-peroxymonosulfate-initiated-dissolved-oxygen-a_2025_Applied-Catalys,Ultralow-peroxymonosulfate-initiated dissolved oxygen activation for micropollutant decomposition by an asymmetric single-site metal (Fe-N2O1S1) catalyst,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125175,SAC,FeSA-NS-Ti3C2Tx,Pharmaceutical,acetaminophen,PMS,Radical,O2•−; 1O2; •OH,O2•−,100,6,,min-1,4,Fe-N2O1S1,False,False
Understanding-the-effect-of-high-single-atom-site-de_2025_Applied-Catalysis-,Understanding the effect of high single-atom site density for singlet oxygen generation via peroxymonosulfate activation,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125673,SAC,Fe-PCN,Other,Tetrabromobisphenol A,PMS,Non-radical,1O2,1O2,100,30,0.5131,min-1,,Fe-N4,False,False
Unraveling-the-metal-size-dependent-origin-in-activatin_2025_Applied-Catalys,Unraveling the metal size-dependent origin in activating peracetic acid with cobalt single atoms: Collaboration of radical and non-radical mechanisms,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125252,SAC,Co-SACs,Antibiotic,sulfamethoxazole,PAA,Both,CH3CO3•; 1O2,CH3CO3• and 1O2,100,5,1.5195,min-1,4,Co-N4,False,False
Unraveling-the-underlying-contribution-of-1O2-to-pol_2025_Applied-Catalysis-,Unraveling the underlying contribution of 1 O2 to pollutant degradation during peroxymonosulfate activation by chloride,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125446,Other,chloride,Antibiotic,oxytetracycline,PMS,Non-radical,1O2; Cl2; HOCl; OCl−,1O2,97.0,30,0.205,min-1,,,False,False
Unveiling-the-transformation-products-and-toxicity-of-para_2025_Journal-of-H,Unveiling the transformation products and toxicity of paralytic shellfish toxins under photodegradation and peroxymonosulfate oxidation,,2025,10.1016/j.jhazmat.2025.140313,,,Other,paralytic shellfish toxins,PMS,,SO4•−; •OH,,,,,min-1,,,False,False
Visible-light-for-enhancing-the-reusability-of-MOF-derived-F_2025_Journal-of,Visible light for enhancing the reusability of MOF-derived Fe2O3@MoS2 heterojunction in the rapid degradation of Cu-EDTA by activated peroxymonosulfate: Performance and mechanism,,2025,10.1016/j.jhazmat.2025.138669,MOF-derived,MOF-derived Fe2O3@MoS2,Other,Cu-ethylene diamine tetraacetic acid complex,PMS,Radical,•OH; 1O2; O2•−; SO4•−; Fe(IV),•OH,94.5,15,,min-1,5,Fe sites; Mo sites,True,False
Visible-light-peroxomonosulfate-coactivation-via-CuOx-Fe_2025_Journal-of-Wat,Visible light-peroxomonosulfate coactivation via CuOx/Fe2O3 composites for efficient degradation of tetracycline and bimetallic mechanisms,,2025,10.1016/j.jwpe.2025.108363,Metal oxide,CuOx/Fe2O3,Antibiotic,tetracycline hydrochloride,PMS,Both,SO4•−; •OH; O2•−; 1O2; h+; e-,O2•−,92.1,30,0.08055,min-1,5,Fe3+/Fe2+; Cu2+/Cu+,True,False
Z-scheme-TiO2-derived-from-MIL-125-Ti--g-C3N5-heteroju_2025_Journal-of-Envir,Z-scheme TiO2 derived from MIL-125(Ti)/g-C3N5 heterojunction for enhanced photocatalytic degradation of sulfadiazine via peroxymonosulfate activation,,2025,10.1016/j.jece.2025.115910,MOF-derived,Ti-MIL@g-C3N5,Antibiotic,sulfadiazine,PMS,Non-radical,1O2; SO4•−; O2•−,1O2,95.6,15,0.889,min-1,5,Ti3+/Ti4+ redox pair; oxygen vacancies,True,False
Z-scheme-p-n-Co3O4-FeVO4-heterojunction-assisted-peroxymonosulfa_2025_Enviro,Z-scheme p-n Co3O4@FeVO4 heterojunction-assisted peroxymonosulfate activation under visible light for boosted degradation of antibiotics: Enhanced intrinsic electric field and broadened visible-light absorption,,2025,10.1016/j.envres.2025.121624,Metal oxide,Co3O4@FeVO4,Antibiotic,ciprofloxacin,PMS,Both,SO4•−; •OH; h+; 1O2; e-,,93.6,120,0.0229,min-1,4,Co2+/Co3+; Fe2+/Fe3+; V4+/V5+; oxygen vacancies,True,False
ZIF-67-derived-NiCo-MOF-for-catalytic-activation-of-perox_2025_Journal-of-Wa,"ZIF-67-derived NiCo-MOF for catalytic activation of peroxymonosulfate to degrade norfloxacin: Mechanism, degradation pathway, and toxicity analysis",,2025,10.1016/j.jwpe.2025.108556,MOF-derived,NiCo-MOF,Antibiotic,norfloxacin,PMS,Both,SO4•−; •OH; 1O2; O2•−,SO4•− and 1O2,98.5,60,0.182,min-1,5,Co(II)/Co(III); Ni(II)/Ni(III),False,False
Zn-MOF-derived-from-waste-plastic-bottles-activated-peroxymo_2025_Chemical-E,Zn-MOF derived from waste plastic bottles activated peroxymonosulfate for the degradation of oxytetracycline: Process mechanism and toxicological analysis,,2025,10.1016/j.cej.2025.170288,MOF-derived,Zn-MOF-2.5,Antibiotic,oxytetracycline,PMS,Non-radical,O2•−; 1O2,1O2,93.01,90,0.04938,min-1,8,Zn ions; oxygen vacancies (Ov),True,False
A-highly-efficient-peroxymonosulfate-activator-using-a_2024_Process-Safety-a,A highly-efficient peroxymonosulfate activator using a sewage sludge derived biochar supported cobalt oxide: Mechanism and characteristics,,2024,10.1016/j.psep.2024.11.006,Biochar,BS-Co3O4,Antibiotic,tetracycline,PMS,Both,SO4•−; 1O2,,93.2,60,0.126,min-1,4,Co(II); oxygen vacancies; sp2 carbon,False,False
A-hydrothermal-assisted-strategy-to-transform-Fe-doped-M_2024_Journal-of-Env,A hydrothermal-assisted strategy to transform Fe-doped MOF into 3D interwoven network structure of CNTs boosting the degradation of antibiotics via peroxymonosulfate activation,,2024,10.1016/j.jece.2024.113644,MOF-derived,F0.2ZHC,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,1O2,1O2,86,40,0.13,min-1,5,Fe-Nx; graphitic N,False,False
A-novel-magnetic-Fe--N-co-doped-Ce-MOFs-derived-carbon-as-a_2024_Journal-of-,"A novel magnetic Fe, N co-doped Ce-MOFs derived carbon as a peroxymonosulfate activator for the degradation of tetracycline hydrochloride: Performance and activation mechanism",,2024,10.1016/j.jwpe.2024.105219,MOF-derived,Fe/Ce@5MNC,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,1O2,1O2,86.4,30,,min-1,4,graphite N; FeNx; Fe(II)/Fe(III); Ce(III)/Ce(IV),False,False
Activating-peroxymonosulfate-for-efficient-degradation-o_2024_Journal-of-Env,Activating peroxymonosulfate for efficient degradation of oxytetracycline by regulating the conversion of the metal active site to the low valence state via calcination,,2024,10.1016/j.jece.2024.114804,MOF-derived,Cu-MOF,Antibiotic,oxytetracycline,PMS,Both,•OH; 1O2,,99.92,20,,min-1,5,Cu+; Cu0,False,False
Activating-peroxymonosulfate-with-MOF-derived-NiO-NiCo2_2024_Journal-of-Coll,Activating peroxymonosulfate with MOF-derived NiO-NiCo2O4/titanium membrane for water treatment: A non-radical dominated oxidation mechanism,,2024,10.1016/j.jcis.2024.07.195,MOF-derived,MOF-derived NiO-NiCo2O4/titanium hollow fiber membrane,Phenolic compound,phenol,PMS,Non-radical,1O2,1O2,100,,1.7,min-1,5,Ni2+/Co3+ redox pairs; oxygen vacancies,False,False
Activation-of-Z-scheme-heterojunction-of-peroxymonosulfate-_2024_Separation-,Activation of Z-scheme heterojunction of peroxymonosulfate for augmented visible-light-induced photocatalytic decomposition of tetracycline and enhanced antimicrobial efficacy with O-doped g-C3N4@Co3O4,,2024,10.1016/j.seppur.2024.126307,Metal oxide,OCN/Co3O4,Antibiotic,tetracycline hydrochloride,PMS,Radical,O2•−; •OH; h+; SO4•−,O2•−,99.2,20,,min-1,4,,True,False
Activation-of-peroxymonosulfate-by-Cu-doped-iron-oxychlor_2024_Journal-of-Wa,Activation of peroxymonosulfate by Cu-doped iron oxychloride biochar for the degradation of tetracycline and disinfection of its resistant bacteria,,2024,10.1016/j.jwpe.2024.106318,Biochar,Cu@FeOCl-CBC,Antibiotic,tetracycline,PMS,Non-radical,1O2; •OH; O2•−; SO4•−,1O2,99.0,60,0.0772,min-1,3,Cu; Fe; oxygen-containing functional groups,False,False
Activation-of-peroxymonosulfate-using-heterogeneous-Fe-d_2024_Separation-and,Activation of peroxymonosulfate using heterogeneous Fe-doped carbon-based catalyst to generate singlet oxygen for the degradation of sulfamethoxazole,,2024,10.1016/j.seppur.2024.126905,Carbon-based,Fe3O4@CD-8,Antibiotic,sulfamethoxazole,PMS,Non-radical,1O2; •OH; SO4•−; O2•−,1O2,100,24,0.177,min-1,4,pyridinic N; graphitic N; Fe°; Fe3O4,False,False
Adsorption-behavior-and-mechanism-of-tetracycline-on-_2025_Separation-and-Pu,Adsorption behavior and mechanism of tetracycline on microplastics subjected to peroxymonosulfate and alkaline aging,,2024,10.1016/j.seppur.2024.128956,Other,"microplastics (PS, PP, PET, PLA)",Antibiotic,tetracycline,PMS,,SO4•−; •OH,,,,,min-1,,,False,False
Ag3PO4-n-SiMPs-photoanode-peroxymonosulfate-coupled-_2025_Separation-and-Pur,Ag3PO4/n-SiMPs photoanode-peroxymonosulfate coupled system for efficient tetracycline degradation performance,Separation and Purification Technology,2024,10.1016/j.seppur.2024.130516,Metal oxide,Ag3PO4/n-Si micropyramids,Antibiotic,tetracycline,PMS,Both,1O2; •OH; SO4•−; O2•−,1O2 and O2•−,96.25,120,0.0276,min-1,20,,True,True
An-efficient-multi-path-to-active-peroxymonosulfate-by-car_2025_Separation-a,An efficient multi-path to active peroxymonosulfate by carbon and sulfur co-doped boron nitride for antibiotics degradation: An emerging electron-transfer pathway at activated-S sites,,2024,10.1016/j.seppur.2024.128089,Other,carbon and sulfur co-doped boron nitride,Antibiotic,levofloxacin,PMS,Both,•OH; 1O2; O2•−,1O2,99.4,90,0.0531,min-1,3,B-N-C; C-S-C; S sites,False,False
An-efficient-peroxymonosulfate-activator-derived-fro_2024_Journal-of-Environ,"An efficient peroxymonosulfate activator derived from metal-organic frameworks: The application of Cu, Mg co-doping strategy",,2024,10.1016/j.jece.2024.114369,MOF-derived,CuMg@Fe-MOFs-500,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; O2•−; 1O2,,96.8,60,,min-1,5,oxygen vacancy (OV); low-valent copper (Cu0/Cu+); Fe2+/Fe3+ redox couple; surface -OH groups,False,False
Anchoring-highly-dispersed-FeCo-C-nanoparticles-within_2024_Journal-of-Envir,Anchoring highly dispersed FeCo/C nanoparticles within zeolite 13X to promote 1 O2 generation in the degradation of tetracycline hydrochloride,,2024,10.1016/j.jece.2024.113854,MOF-derived,FeCo/C@13X,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,1O2; SO4•−; •OH; O2•−,1O2,92,,,min-1,5,Fe3+/Fe2+; Co3+/Co2+; FeCo alloy sites,False,False
Architecture-engineering-of-Fe-Fe2O3-MoS2-enables-highly-eff_2024_Journal-of,Architecture engineering of Fe/Fe2O3@MoS2 enables highly efficient tetracycline remediation via peroxymonosulfate activation: Critical roles of adsorption capacity and redox cycle regulation,,2024,10.1016/j.jenvman.2024.120210,Other,Fe/Fe2O3@MoS2,Antibiotic,tetracycline hydrochloride,PMS,Both,SO4•−; •OH; O2•−; 1O2,SO4•− and 1O2,90.3,40,,min-1,5,Mo4+; Fe°; Fe2+/Fe3+,False,False
Atomically-dispersed-Fe-N5-sites-with-optimized-electr_2024_Applied-Catalysi,Atomically dispersed Fe-N5 sites with optimized electronic structure for sustainable wastewater purification via efficient Fenton-like catalysis,,2024,10.1016/j.apcatb.2024.124385,SAC,FeNC,Antibiotic,doxycycline,PMS,Non-radical,1O2; SO4•−; •OH,1O2,100,3,2.08,min-1,5,Fe-N5; C=O groups,False,False
Bimetallic-FeCo-nanoparticles-embedded-N-rich-porous-ZIF_2024_Journal-of-Env,Bimetallic FeCo nanoparticles embedded N-rich porous ZIF-derived carbon as highly active heterogeneous Fenton catalyst for degradation of tetracycline and organic dyes,,2024,10.1016/j.jece.2024.112414,MOF-derived,Fe(0.4)Co@N-CZ-67,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; O2•−; 1O2,,96,4,0.795,min-1,10,FeCo bimetallic nanoparticles; N-doped carbon support; pyridinic N; graphitic N,False,False
Bioinspired-axial-S-coordinated-single-atom-cobalt-catalyst_2024_Journal-of-,Bioinspired axial S-coordinated single-atom cobalt catalyst to efficient activate peroxymonosulfate for selective high-valent Co-Oxo species generation,,2024,10.1016/j.jhazmat.2024.134515,SAC,CoN4S-CB,Antibiotic,sulfamethoxazole,PMS,Non-radical,Co(IV)=O,Co(IV)=O,98.0,10,0.72311,min-1,4,axial S-coordinated CoN4S,False,False
Boosting-charge-separation-and-active-sites-exposure-by-hollo_2024_Chemical-,Boosting charge separation and active sites exposure by hollow S-scheme MoSe2/Fe2O3 heterojunction for enhanced photocatalytic peroxymonosulfate activation towards ciprofloxacin removal,,2024,10.1016/j.cej.2024.156981,Metal oxide,hollow S-scheme MoSe2/Fe2O3 (H-FMS),Antibiotic,ciprofloxacin,PMS,Both,SO4•−; •OH; O2•−; 1O2; h+,SO4•− and 1O2,95.92,30,0.0992,min-1,4,Mo4+; Fe2+/Fe3+; hollow structure; S-scheme heterojunction,True,False
Boosting-peracetic-acid-activation-with-Cu-single-atom-_2024_Applied-Catalys,Boosting peracetic acid activation with Cu single-atom catalysts for sulfamethoxazole abatement: A nonradical pathway and ‘double engine' driving mechanism,Applied Catalysis B: Environmental,2024,10.1016/j.apcatb.2024.123897,SAC,Cu single-atom catalyst with Cu-pyridinic N4 sites on carbon nanosheets,Antibiotic,sulfamethoxazole,PAA,Non-radical,1O2; O2•−,1O2,100,20,0.12,min-1,4,Cu-pyridinic N4; electron-rich Cu atom; electron-poor C atoms adjacent to pyridinic N,False,False
Boosting-peroxymonosulfate-activation-over-partial-Zn-substit_2024_Chemical-,"Boosting peroxymonosulfate activation over partial Zn-substituted Co3O4 for florfenicol degradation: Insights into catalytic performance, degradation mechanism and routes",,2024,10.1016/j.cej.2024.152197,Metal oxide,Zn0.03Co,Antibiotic,florfenicol,PMS,Both,SO4•−; •OH; O2•−; 1O2,,87,25,0.112,min-1,5,Co²⁺/Co³⁺ redox cycle; oxygen vacancies,False,False
Breaking-scaling-relation-of-single-atom-site-via-energy_2024_Applied-Cataly,Breaking scaling relation of single-atom site via energy storage-release effect from adjacent carbon vacancy for low-temperature-resistant Fenton-like catalysis,,2024,10.1016/j.apcatb.2024.124409,SAC,PCvFe1-5,Antibiotic,sulfamethoxazole,PMS,Non-radical,,,95.28,2,9.06,min-1,4,FeN4 sites adjacent to carbon vacancies,False,False
CNTs-with-nano-confined-TiO2-and-surface-loading-Co3O4--T_2025_Separation-an,CNTs with nano-confined TiO2 and surface loading Co3O4: The analysis of its performance and mechanism of PMS activation for ECs degradation under visible light,,2024,10.1016/j.seppur.2024.127840,Carbon-based,TiO2-in-CNT/Co3O4,Antibiotic,Norfloxacin,PMS,Both,SO4•−; •OH; 1O2; O2•−; h+,,97.9,30,0.197,min-1,5,Co²+/Co³+ redox pairs; confined TiO2; carbon nanotube structure,True,False
Carbon-based-single-atom-catalyst-engineered-to-mediate-no_2025_Separation-a,Carbon-based single atom catalyst engineered to mediate non-radical pathway for antibiotics degradation under multiple complex water matrices by peroxymonosulfate activation,Separation and Purification Technology,2024,10.1016/j.seppur.2024.131140,SAC,C-SAC,Antibiotic,levofloxacin,PMS,Non-radical,1O2; O2•−,1O2,100,15,,min-1,5,FeN4,False,False
Carbon-cloth-in-situ-loaded-with-ZIF-67-derived-Co3O4-for-pe_2025_Applied-Su,Carbon cloth in situ loaded with ZIF-67 derived Co3O4 for peroxymonosulfate activation: An integrated synthesis-catalysis reactor,Applied Surface Science,2024,10.1016/j.apsusc.2024.162074,MOF-derived,CC-ZDC350,Antibiotic,tetracycline,PMS,Radical,SO4•−; O2•−,SO4•−,90,30,,min-1,3,Co3O4 nanoparticles; Co2+/Co3+ redox pairs,False,False
Catalytic-ozonation-of-ciprofloxacin-using-MnO2-biochar-_2025_Journal-of-Wat,Catalytic ozonation of ciprofloxacin using MnO2/biochar nanohybrid integrated with peroxymonosulfate in a circulating fluidized bed reactor,,2024,,Biochar,β-MnO2/BC1-800-120,Antibiotic,ciprofloxacin,PMS,Radical,•OH; SO4•−; 1O2; O2•−; O3,•OH,99,20,0.219,min-1,5,,False,False
Co-Fe-synergistic-interaction-mediated-novel-peroxymonosul_2024_Chemical-Eng,Co-Fe synergistic interaction mediated novel peroxymonosulfate activators: High-efficiently degradation and outstanding mineralization,,2024,10.1016/j.cej.2024.151452,MOF-derived,Fe/CoC,Antibiotic,Norfloxacin,PMS,Both,SO4•−; 1O2; O2•−,,99.59,30,,min-1,4,Fe-Co bimetallic clusters; carbon matrix defects; C=O groups,False,False
Cobalt-iron-bimetallic-oxide-coated-with-graphitized-nitrogen-do_2024_Enviro,Cobalt/iron bimetallic oxide coated with graphitized nitrogen-doped carbon (Fe2O3-CoO@NC) derived from cobalt/iron solid complex as peroxymonosulfate (PMS) activator for efficient bensulfuron-methyl degradation,Environmental Research,2024,10.1016/j.envres.2024.120249,Metal oxide,Fe2O3-CoO@NC,Pesticide,bensulfuron-methyl,PMS,Both,SO4•−; 1O2; •OH; O2•−,SO4•− and 1O2,100,10,0.91,min-1,5,≡Co(II); ≡Fe(III); graphitic N; pyridinic N; C=O,False,False
Composite-catalyst-regenerated-from-spent-Cu-Bi-spinel_2024_Journal-of-Envir,Composite catalyst regenerated from spent Cu-Bi-spinel adsorbent and its Fenton-like photocatalysis mechanism for efficient removal of sulfamethoxazole,,2024,10.1016/j.jece.2024.113299,MOF-derived,CBO-WC500,Pharmaceutical,sulfamethoxazole,PMS,Both,SO4•−; •OH; 1O2; O2•−,SO4•−,88.9,60,0.03432,min-1,4,Cu(I)/Cu(II) redox couple; Cu-C bond; graphitized carbon,True,False
